Date,Close,High,Low,Open,Volume
2021-08-25,40.056636810302734,41.05357334375957,39.88528722945038,40.9523240197152,40738077
2021-08-26,38.631324768066406,40.44606388529897,38.53786271459719,40.44606388529897,76303507
2021-08-27,39.21547317504883,39.58153714369417,38.553445501346694,38.70921759254294,38614176
2021-08-30,37.73564147949219,39.21546875115344,37.08140114715721,39.21546875115344,107968202
2021-08-31,38.13285446166992,38.51449586363788,37.268322343238474,37.73563852755261,71044024
2021-09-01,39.55817413330078,39.68279121759177,37.852474263879884,38.070556389718355,82605536
2021-09-02,40.18904113769531,40.407123232684825,39.17652709966871,39.48028101396617,72620098
2021-09-03,40.50058364868164,40.75760800950565,39.26220029904121,40.26692702954489,64257332
2021-09-06,39.877498626708984,41.08472697683086,39.86192112250743,40.118942514070284,54742847
2021-09-07,41.131465911865234,41.341757794764355,39.29336172454457,39.94760214763996,77232009
2021-09-08,40.81991958618164,41.70781662012989,40.703089778091424,41.061366469718884,55390668
2021-09-09,40.57847213745117,41.03021088659555,40.251353433123505,40.57847213745117,35780025
2021-09-10,42.151763916015625,42.46330808116084,40.30587261095945,40.50058697139887,107097799
2021-09-13,41.99599838256836,42.44773719536543,41.668879632147714,41.80128399176393,59283043
2021-09-14,40.57847213745117,42.75148514570346,40.34481549563064,42.29195912931074,63116569
2021-09-15,40.03327560424805,40.882230375100605,39.565959334240716,40.50058890314989,54233793
2021-09-16,39.48807907104492,40.3681889498739,39.10643755757209,39.90087262902314,62989614
2021-09-17,39.916446685791016,40.142316072785704,39.332303563559925,39.55038271177242,42016472
2021-09-22,38.48334884643555,38.927297382481356,37.46304445474654,37.914783229589254,112259622
2021-09-23,38.039398193359375,39.35566622175346,37.8602613353724,38.55344399444104,86102453
2021-09-24,37.9848747253418,38.421035927121984,37.696698327059316,37.735640601783146,53203933
2021-09-27,38.23411560058594,38.787103724188675,37.54872015421449,37.61103018165992,66790515
2021-09-28,39.26998519897461,39.7061463738889,38.234106493822445,38.241893759845496,70992547
2021-09-29,40.15789031982422,40.63299085828191,38.639117731073654,38.90392937716916,90460986
2021-09-30,39.29335403442383,40.056633883469,39.02075217834018,40.03326911364369,58611808
2021-10-08,39.667213439941406,39.784043255525575,38.95845322079132,38.95845322079132,64555292
2021-10-11,41.27944564819336,42.19849769465289,40.06442693310141,40.06442693310141,97177865
2021-10-12,41.349544525146484,41.894745365824775,40.73424639107948,41.045790577497236,58937329
2021-10-13,41.30281066894531,41.590990071940766,40.539530705144095,41.240503616341876,44255673
2021-10-14,40.78097915649414,41.47416185579629,40.65636207539607,41.2716602131765,28899621
2021-10-15,41.52089309692383,41.62214242956342,40.77318766225202,40.851075192481105,42035759
2021-10-18,40.39154815673828,41.55204410273854,40.15010127570142,41.520892062528475,57794539
2021-10-19,41.18598175048828,41.52867795025827,40.500586379842986,40.69530073743839,48169257
2021-10-20,40.812137603759766,41.777919320760994,40.718672556742234,41.44301033004607,30570959
2021-10-21,41.863590240478516,42.05830461369005,40.96790293526327,41.1626173084748,57658698
2021-10-22,42.284175872802734,42.68139190446385,41.84801458788966,42.12840377311195,54715058
2021-10-25,42.51782989501953,42.78264155670859,41.35733094408957,41.92589951829984,62334126
2021-10-26,43.07081604003906,43.795153700328974,42.291958596381555,42.51782796810752,71542369
2021-10-27,42.46331024169922,42.992933566730166,41.92589964914084,42.992933566730166,42039441
2021-10-28,42.229652404785156,42.83716027244058,41.94147300557465,42.29195945657025,34623228
2021-10-29,42.03493881225586,42.642446691073566,41.82464693779462,42.22965318070825,40543943
2021-11-01,42.151763916015625,42.75927474093825,41.51310105146276,42.058301854914205,42501781
2021-11-02,40.6953010559082,42.43994302090238,40.24356231662115,42.330900484067165,75220649
2021-11-03,40.266929626464844,40.88222770772107,40.243561883270544,40.773185172060046,44437241
2021-11-04,40.30587387084961,40.57847279554361,39.93980991102728,40.50058823737545,48291475
2021-11-05,40.15789031982422,40.58626131380379,40.04884778346286,40.28250739027474,36197416
2021-11-08,39.955387115478516,40.422703374278605,39.56595838536448,39.97096462121573,38674906
2021-11-09,39.768463134765625,40.26693143576375,39.41018644370597,40.03327479105906,38788364
2021-11-10,39.43355178833008,39.83855800102188,38.974025794228346,39.7684607147655,55807106
2021-11-11,41.139251708984375,41.178193988624194,39.301147587372206,39.37124487916608,84973170
2021-11-12,40.812137603759766,41.419645553844596,40.695307780540766,41.13925635500365,34359656
2021-11-15,41.22492218017578,41.75454544678714,40.78876096911196,41.11588262018612,36695032
2021-11-16,40.8900146484375,41.57541001159697,40.625203006155786,41.20155880562961,32231509
2021-11-17,40.375972747802734,41.14704297682277,40.352607973655495,40.671939428458515,33938551
2021-11-18,40.04106140136719,40.50058741589171,39.7217299655861,40.34481533160951,34244267
