Date,Close,High,Low,Open,Volume
2021-08-19,151.08596801757812,157.40419817879538,150.1072654652934,156.8734346229384,66663000
2021-08-20,148.6486358642578,157.08986225250038,146.33364075985983,154.4455074404403,75948900
2021-08-23,151.56590270996094,151.95173765410584,143.7928147751219,149.89083052632571,88699200
2021-08-24,161.57872009277344,163.88617704148908,158.2455193099722,159.0755168615277,62786400
2021-08-25,159.1319580078125,159.61188953659288,156.28997589236255,158.75552845250695,26055400
2021-08-26,155.49949645996094,158.5202664812139,155.10425619359697,157.5886338388272,18816500
2021-08-27,150.06964111328125,152.2340647032645,149.20387454915223,150.55899242668335,31718100
2021-08-30,152.723388671875,153.6644410779997,148.90271820049998,150.7283621658731,23769400
2021-08-31,157.14634704589844,159.03785721980833,156.3464467540234,157.81448621548424,24629100
2021-09-01,163.0655517578125,164.4865356517591,159.34839780845695,159.56483583060205,29550200
2021-09-02,161.86102294921875,167.6767202534085,161.5504739146279,167.5167430584958,29302400
2021-09-03,160.26123046875,161.91747756346112,158.9249377515421,159.53190622551483,16423500
2021-09-07,164.83473205566406,166.41569310144067,163.15024031833389,163.88425999806148,24608500
2021-09-08,160.6470489501953,164.0912895515729,159.28251158952511,163.97836786739236,18993000
2021-09-09,157.4569091796875,159.07550624842096,155.81947268126325,157.4380841093181,17295800
2021-09-10,158.19093322753906,161.52225280647906,157.7298123266718,161.1081874031406,15064300
2021-09-13,155.6594696044922,157.0258736841379,153.41035510651,154.79370318260354,15458600
2021-09-14,150.70953369140625,153.45647157628608,150.07903031666925,153.2597919724743,20925900
2021-09-15,148.55453491210938,148.7145120996549,144.84678609687657,148.63922618328283,31796600
2021-09-16,147.04884338378906,148.3465669396368,144.61152110525535,145.78783660948824,24358900
2021-09-17,150.61544799804688,150.9259970307039,148.77097887177752,149.137988754132,25489000
2021-09-20,142.56004333496094,145.99487909433145,140.30150879952242,145.29849509969006,36177500
2021-09-21,141.32723999023438,143.58577432508648,140.7541451773237,142.64472194206138,19494700
2021-09-22,142.9364471435547,144.92206826361732,142.11773615808676,142.54120686231775,19832000
2021-09-23,142.2777099609375,143.67986880072715,140.79084549485833,143.58577217942266,24707500
2021-09-24,136.52789306640625,139.2757645354741,136.0479614795923,139.00286563928287,32067400
2021-09-27,141.32723999023438,142.08950448231334,135.92560850163503,136.37730962487754,24287400
2021-09-28,143.406982421875,144.6679892598756,140.08506841886035,143.19054437877242,26299600
2021-09-29,138.88052368164062,143.13408481874677,138.78641269197206,141.5907593597006,17361300
2021-09-30,139.32281494140625,140.76262400857686,138.20672239573057,138.36293744351903,14291500
2021-10-01,135.6997528076172,139.6992254958127,134.89044717163304,138.41939366121733,20211000
2021-10-04,131.39913940429688,133.53531782170813,130.2698651382758,133.34711023047754,25218500
2021-10-05,134.70223999023438,135.3515684438635,130.98508588130898,131.16388813483815,14032100
2021-10-06,135.60565185546875,136.35095797830974,131.70969562968463,132.2743184344055,14875900
2021-10-07,146.80418395996094,148.95918777819503,141.86365853823148,142.14597714848023,46035900
2021-10-08,151.99879455566406,153.18451546403375,148.60159466336438,150.4366440546463,33499200
2021-10-11,154.28555297851562,159.79071579284332,154.28555297851562,159.61191352211875,42193600
2021-10-12,153.3915252685547,155.9605940331182,152.67633068819097,154.16789054605636,24512700
2021-10-13,157.5321807861328,158.3461963578083,153.95619281831233,154.69021261038677,18595000
2021-10-14,156.94873046875,159.02846275444136,154.7654961958645,158.34148410969357,17403700
2021-10-15,158.0968017578125,159.79069893422448,155.68300007634042,157.14634401183798,20762800
2021-10-18,156.9863739013672,159.27312442306194,156.76051614789637,156.76051614789637,18945900
2021-10-19,166.56629943847656,166.9803648532163,160.40240243484928,160.54356893132265,33538900
2021-10-20,166.7356414794922,171.35621177021648,165.74754804093652,170.28341271063485,33714400
2021-10-21,166.9615020751953,169.18238614051623,166.29336296447613,166.56626182111094,16444000
